Дата,Время,НЖТИ,Название,Число1,Число2
24.07.25,16:48,38739,ПЛЕДОЗВОН,0941,0368
24.07.25,16:18,40711,КРЕМЛЕВСКИЙ,2567,1173
24.07.25,16:01,12372,НЕУДЕРЖИМЫЙ,6995,1729
24.07.25,15:33,85185,КЛЮЧИЦА,3365,8041
24.07.25,14:47,34240,КРАШОТРЕФ,9232,4881
24.07.25,14:27,20768,ШЛАМОБРОД,9618,1994
24.07.25,13:42,65692,ГИМАЛАЙСКИЙ,7362,6129
24.07.25,13:08,88678,КРАСНОХРЯК,8186,3319
24.07.25,12:31,26280,ПЕКИНСКИЙ,8445,9873
24.07.25,12:23,58093,КОММУНИКЕ,5631,3486
10.07.25,13:53,15886,ВЕСТОМОР,9089,7726
10.07.25,11:07,62679,ТАКСА,0216,5516
09.07.25,19:04,80567,ЗУБРИЛЬНЫЙ,5812,4860
07.07.25,15:46,70022,ФИННОМИРТ,0698,5020
07.07.25,10:57,11655,МАЛЬТОЗА,7813,5427
03.07.25,13:12,48908,ЗАВОФАГ,8316,9800
03.07.25,11:39,67865,ПАСТИЛКА,5109,7929
03.07.25,10:45,28769,ГОЛОДИКАРЬ,8060,0174
,,65386,НАБОБЛИН,6563,4935
02.07.25,16:01,42407,ИРАКОТИС,2191,9162
02.07.25,13:08,61803,УМЕЛЕЦ,8664,4343
30.06.25,16:50,38667,БУЕР,7726,3201
30.06.25,14:26,05185,ТРУНОНОРД,0909,4948
30.06.25,12:57,90966,ЗЕВОСЕУЛ,5291,8888
26.06.25,10:55,68183,ВДОХОКОЛ,4747,6851
,,63373,СЛАСТЬ,4138,7098
23.06.25,15:40,70259,ОТНЯТЬЕ,6079,0078
23.06.25,14:25,03011,ПАНИРОВКА,5821,6631
,,72753,КЛИНОК,0979,2679
19.06.25,16:30,48105,ЗВУЧАНИЕ,4638,1726
,,31553,ДУЭТОТИП,6855,6414
16.06.25,21:58,48858,ВИСОКЕД,1203,5221
16.06.25,19:12,96560,ДИАЛЕКТИЗМ,9064,6939
,,63145,МАЛОСНЕЖНЫЙ,7383,8915
15.06.25,15:19,42525,МАЛОСНЕЖНЫЙ,7383,8915
12.06.25,15:14,22345,ТКАЧОСАП,8394,7873
04.06.25,19:51,50809,АЗОТОБАСК,7719,4842
02.06.25,17:32,97954,АРАПОБЛИЦ,3449,5582
02.06.25,16:00,89364,ИБОБАЗА,2766,3413
,,52661,ЛУЧОТОРГ,9114,0297
,,32182,БЕЗМОТИВНЫЙ,9384,6823
26.05.25,13:10,38574,АРЫКОРИФТ,8138,2860
26.05.25,11:24,12315,СКИРД,4564,1608
,,37339,БЕЗЗЛОБИЕ,4223,7856
19.05.25,19:47,01263,БОЛТАНКА,4430,9529
19.05.25,16:15,89905,БЛЕФОПУФ,4097,5573
26.04.25,12:20,16338,БЕКОСИГ,3267,1868
25.04.25,12:11,35340,КЛЮКВЕННЫЙ,8138,4103
,,96377,ДВИНСКИЙ,8288,7311
21.04.25,13:25,46467,ДЖУТОГОТ,6584,8032
17.04.25,19:51,46085,ПУДОЛИСТ,1988,5197
,,36942,БОРНОРАК,7433,8982
14.04.25,18:41,62465,НУТОБАКС,7817,9271
14.04.25,17:17,70082,ЛИСОПЛАЩ,6793,0809
14.04.25,15:48,82361,ТИМУС,1162,5685
14.04.25,10:54,33702,НЕПТУН,6652,2075
,,20962,БУЕРОФАНТ,1552,9234
27.03.25,14:29,96488,ТЕНДЕР,8757,3852
27.03.25,12:20,62622,ШНАПС,5604,5596
27.03.25,11:12,85765,ТОМОМОЗГ,9968,2747
25.03.25,14:42,67115,АПАШОХЛЫЩ,1117,3676
25.03.25,13:11,06054,АКТОПЛОТ,4369,8520
18.03.25,21:45,02425,ЖОХОДИОД,9671,5038
17.03.25,14:45,60693,ВЕРЕНИЦА,2914,8945
17.03.25,12:56,62291,ОЗОЗАИР,5759,3222
13.03.25,14:55,55624,КАТАРАКТА,1252,9433
13.03.25,13:13,74755,ТЕМПОРУАН,6872,7544
10.03.25,15:50,45994,АККОРДЕОН,7878,9426
10.03.25,10:58,43130,ВОДОКЛЕВ,0615,5894
